id,city,state,latitude,longitude,neighbourhood_cleansed,first_review
3231657,Denver,CO,39.752320000000005,-104.99802,Union Station,7/15/2014
3280195,Denver,CO,39.73649,-104.94604,Congress Park,
3338717,Denver,CO,39.67525,-104.97746000000001,Rosedale,6/24/2014
3341556,Denver,CO,39.749990000000004,-104.9725,City Park West,8/31/2014
3349024,Denver,CO,39.764340000000004,-104.96031,Cole,6/5/2016
3395085,Denver,CO,39.78329,-105.02358999999998,Sunnyside,7/17/2014
3404692,Denver,CO,39.75797,-104.96678999999999,Whittier,7/22/2014
3410364,Denver,CO,39.74602,-104.96404,City Park West,7/23/2014
3412478,Denver,CO,39.77267,-105.00203,Sunnyside,8/22/2014
3424315,Denver,CO,39.72068,-104.97175,Country Club,6/26/2016
3425065,Denver,CO,39.72787,-104.98006000000001,Capitol Hill,12/27/2015
3425074,Denver,CO,39.72795,-104.9789,Capitol Hill,10/29/2016
3458369,Denver,CO,39.76145,-105.03693999999999,West Highland,7/15/2014
3463164,Denver,CO,39.642790000000005,-105.06523,Fort Logan,7/5/2015
3479122,Denver,CO,39.75332,-104.98808999999999,Five Points,7/6/2014
3487191,Denver,CO,39.72333,-104.98988999999999,Baker,9/16/2014
3495498,Denver,CO,39.770759999999996,-105.02362,Sunnyside,8/26/2014
3541671,Denver,CO,39.736709999999995,-104.95601,Congress Park,9/3/2014
3561443,Denver,CO,39.77108,-105.02106,Sunnyside,7/3/2015
3562277,Englewood,CO,39.66446,-104.96821000000001,University,7/22/2014
3593366,Denver,CO,39.73421,-104.95553999999998,Congress Park,6/19/2017
3605358,Denver,CO,39.733109999999996,-104.98062,Capitol Hill,7/29/2014
3637265,Denver,CO,39.70482,-104.98203999999998,Washington Park West,8/16/2014
3645091,Denver,CO,39.77532,-105.01852,Sunnyside,11/28/2014
3685552,Denver,CO,39.74058,-104.95857,City Park,10/5/2014
3686629,Denver,CO,39.76305,-104.97528999999999,Five Points,9/16/2014
3742687,Denver,CO,39.75778,-104.89102,Stapleton,8/17/2014
3757586,Denver,CO,39.699290000000005,-105.01178999999999,Athmar Park,9/1/2014
3760606,Denver,CO,39.76848,-105.01791000000001,Highland,8/8/2014
3791631,Denver,CO,39.709590000000006,-105.00441000000001,Athmar Park,10/5/2014
3800588,Denver,CO,39.66564,-105.06181000000001,Bear Valley,10/9/2014
3803232,Denver,CO,39.6689,-104.95245,University Park,9/26/2015
3810191,Denver,CO,39.773509999999995,-105.02838,Berkeley,9/8/2014
3828739,Denver,CO,39.753679999999996,-104.99825,Union Station,9/1/2014
3829793,Denver,CO,39.74523,-104.97887,North Capitol Hill,9/16/2014
3882739,Denver,CO,39.72149,-104.98646000000001,Speer,8/17/2014
3883045,Denver,CO,39.67368,-104.97218000000001,University,9/14/2014
3917345,Denver,CO,39.7268,-105.00168000000001,Lincoln Park,9/22/2014
